Oras,Judet,Numar,Tip Artera,Nume Artera,Suprafata construita,Suprafata teren,An constructie,Pret
Bucuresti,Bucuresti,1,Primaverii,Primaverii,700,265,1998,1700000
Bucuresti,Bucuresti,1,Odai,Odai,170,200,2017,75000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 1,60,60,2000,8400
Bucuresti,Bucuresti,1,Sectorul,Sectorul 3,360,360,2000,180000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 1,280,280,2000,409000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 6,60,60,2000,90000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 6,70,70,2000,75000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 4,300,240,2000,320000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 4,94,94,2000,125000
Bucuresti,Bucuresti,1,Titan,Titan,160,140,2018,178000
Bucuresti,Bucuresti,1,Odai,Odai,140,300,2019,96000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 5,220,220,2000,129000
Bucuresti,Bucuresti,1,Fundeni,Fundeni,100,100,2000,83000
Bucuresti,Bucuresti,1,Odai,Odai,155,250,2019,76000
Bucuresti,Bucuresti,1,Ghencea,Ghencea,250,250,2018,130000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 6,220,600,2010,188000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 5,22,22,2000,19000
Bucuresti,Bucuresti,1,Ghencea,Ghencea,160,350,2019,139900
Bucuresti,Bucuresti,1,Sectorul,Sectorul 4,155,155,2000,99999
Bucuresti,Bucuresti,1,Sectorul,Sectorul 1,270,270,2000,250000
Bucuresti,Bucuresti,1,Vatra,Vatra Luminoasa,220,230,1957,295000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 3,152,152,2000,159000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 5,77,77,2000,68000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 5,104,104,2000,118000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 4,120,120,2000,139500
Bucuresti,Bucuresti,1,Sectorul,Sectorul 2,100,300,2000,349000
Bucuresti,Bucuresti,1,Soseaua,Soseaua Alexandriei,330,846,2000,309900
Bucuresti,Bucuresti,1,Sectorul,Sectorul 2,300,300,2000,145000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 1,700,360,1935,1400000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 4,150,150,2000,310000
Bucuresti,Bucuresti,1,Strada,Strada Olimpului,85,170,1940,109000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 2,624,321,1920,750000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 5,203,203,2000,60000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 4,420,420,2000,350000
Bucuresti,Bucuresti,1,Strada,Strada Eretelui,300,250,2005,250000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 6,140,140,2000,35000
Bucuresti,Bucuresti,1,Ferentari,Ferentari,102,175,2008,78220
Bucuresti,Bucuresti,1,Sectorul,Sectorul 5,72,72,2000,19000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 2,350,350,2000,539000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 6,240,240,2000,182000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 3,140,140,2000,130000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 4,300,300,2000,270000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 2,200,200,2000,450000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 4,131,131,2000,238000
Bucuresti,Bucuresti,1,Floreasca,Floreasca,400,280,2000,700000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 6,500,500,2000,490000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 4,200,200,2000,145000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 3,400,400,2000,640000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 6,170,500,2016,205000
Bucuresti,Bucuresti,1,Strada,Strada Izbiceni,63,279,1970,129500
Bucuresti,Bucuresti,1,Sectorul,Sectorul 4,300,300,2000,274000
Bucuresti,Bucuresti,1,Francez,Francez,180,150,1998,425000
Bucuresti,Bucuresti,1,Rahova,Rahova,140,200,2019,73000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 2,850,250,1930,550000
Bucuresti,Bucuresti,1,Strada,Strada Cotul Siretului,85,270,1960,44500
Bucuresti,Bucuresti,1,Strada,Strada Lastarisului,89,44,2000,93500
Bucuresti,Bucuresti,1,Sectorul,Sectorul 5,260,260,2000,35000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 6,150,150,2000,135000
Bucuresti,Bucuresti,1,Odai,Odai,115,150,2018,61000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 2,130,130,2000,149000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 5,80,80,2000,89900
Bucuresti,Bucuresti,1,Aviatiei,Aviatiei,551,248,1999,700000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 5,55,55,2000,60000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 1,400,400,2000,390000
Bucuresti,Bucuresti,1,Soseaua,Soseaua Gheorghe Ionescu Sisesti,154,500,2003,320000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 2,150,150,2000,350000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 3,65,65,2000,27500
Bucuresti,Bucuresti,1,Sectorul,Sectorul 5,145,145,2000,37000
Bucuresti,Bucuresti,1,Odai,Odai,130,150,2018,64000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 5,50,50,2000,84000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 4,125,125,2000,115000
Bucuresti,Bucuresti,1,Ferentari,Ferentari,"447,43",305,2006,182000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 5,145,145,2000,300000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 5,41,41,2000,50900
Bucuresti,Bucuresti,1,Sectorul,Sectorul 6,150,150,2000,50000
Bucuresti,Bucuresti,1,Strada,Strada Tokio,700,492,1948,3500000
Bucuresti,Bucuresti,1,Strada,Strada Lastarisului,89,44,2000,93500
Bucuresti,Bucuresti,1,Sectorul,Sectorul 3,200,200,2000,210000
Bucuresti,Bucuresti,1,Giurgiului,Giurgiului,135,180,1983,140000
Bucuresti,Bucuresti,1,Rahova,Rahova,80,250,2019,55000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 1,77,77,2000,167000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 4,300,300,2000,330000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 2,165,165,2000,157000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 4,140,140,2000,74999
Bucuresti,Bucuresti,1,Sectorul,Sectorul 5,118,118,2000,76500
Bucuresti,Bucuresti,1,Strada,Strada Ghioceilor,154,275,2019,59000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 4,130,130,2000,110000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 2,92,92,2000,145000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 2,25,25,2000,3000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 2,130,130,2000,140000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 3,180,180,2000,260000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 4,360,360,2000,180000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 4,134,134,2000,74900
Bucuresti,Bucuresti,1,Sectorul,Sectorul 2,44,44,2000,42000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 4,128,128,2000,89900
Bucuresti,Bucuresti,1,Odai,Odai,130,100,2017,64500
Bucuresti,Bucuresti,1,Sectorul,Sectorul 5,451,451,2000,45000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 5,380,380,2000,86000
Bucuresti,Bucuresti,1,Strada,Strada Soimarestilor,80,140,1940,180000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 3,450,450,2000,435000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 5,200,200,2000,117000
Bucuresti,Bucuresti,1,Strada,Strada Elocintei,170,374,2008,165000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 5,750,750,2000,1699000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 4,110,110,2000,22000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 5,480,480,2000,365000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 2,132,132,2000,180000
Bucuresti,Bucuresti,1,Strada,Strada Dantelei,130,100,2019,98500
Bucuresti,Bucuresti,1,Sectorul,Sectorul 2,250,250,2000,348000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 5,82,82,2000,117000
Bucuresti,Bucuresti,1,Militari,Militari,30,30,2000,7500
Bucuresti,Bucuresti,1,Sectorul,Sectorul 2,43,43,2000,42000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 5,150,150,2000,54500
Bucuresti,Bucuresti,1,Chitila,Chitila,120,120,2000,89000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 1,150,150,2000,155000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 5,72,72,2000,130000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 4,2,2,2000,25000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 3,300,220,2018,200000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 6,120,120,2000,87500
Bucuresti,Bucuresti,1,Vatra,Vatra Luminoasa,220,230,1957,295000
Bucuresti,Bucuresti,1,Ghencea,Ghencea,160,150,2019,95000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 3,110,110,2000,82000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 5,78,78,2000,80000
Bucuresti,Bucuresti,1,Strada,Strada Amicitiei,127,188,1990,78300
Bucuresti,Bucuresti,1,Sectorul,Sectorul 5,165,165,2000,65000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 2,155,155,2000,79000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 4,210,210,2000,120000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 4,2,2,2000,22000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 6,140,140,2000,150000
Bucuresti,Bucuresti,1,Strada,Strada Dantelei,130,100,2019,98500
Bucuresti,Bucuresti,1,Sectorul,Sectorul 3,110,290,1947,173500
Bucuresti,Bucuresti,1,Sectorul,Sectorul 5,58,58,2000,66500
Bucuresti,Bucuresti,1,Piata,Piata Iancului,81,267,1933,235000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 5,145,145,2000,76000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 5,75,75,2000,37000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 4,4,4,2000,273000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 2,168,168,2000,168000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 5,1,1,2000,14900
Bucuresti,Bucuresti,1,Strada,Strada Mircesti,433,433,2000,235000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 1,120,120,2000,104500
Bucuresti,Bucuresti,1,Rahova,Rahova,70,70,2000,67000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 3,226,226,2000,330000
Bucuresti,Bucuresti,1,Strada,Strada Doamna Ghica,176,110,2007,198000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 4,150,150,2000,50000
Bucuresti,Bucuresti,1,Fundeni,Fundeni,380,380,2000,269000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 6,120,120,2000,78000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 6,190,190,2000,255000
Bucuresti,Bucuresti,1,Strada,Strada Tokio,700,492,1948,3500000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 1,250,250,2000,128000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 5,330,330,2000,127500
Bucuresti,Bucuresti,1,Soseaua,Soseaua Berceni,210,120,2009,199000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 3,40,40,2000,3200
Bucuresti,Bucuresti,1,Sectorul,Sectorul 3,72,72,2000,25000
Bucuresti,Bucuresti,1,Aparatorii,Aparatorii Patriei,123,30,2018,115500
Bucuresti,Bucuresti,1,Sectorul,Sectorul 5,380,380,2000,90000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 6,74,74,2000,82500
Bucuresti,Bucuresti,1,Sectorul,Sectorul 4,350,350,2000,385000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 1,70,70,2000,105000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 1,150,150,2000,89000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 5,500,500,2000,104000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 4,200,200,2000,8419
Bucuresti,Bucuresti,1,Sectorul,Sectorul 5,160,160,2000,100000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 4,90,156,1994,83000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 5,135,135,2000,98000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 5,150,150,2000,110000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 3,440,440,2000,220000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 2,150,150,2000,150000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 1,150,150,2000,170000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 5,98,98,2000,61500
Bucuresti,Bucuresti,1,Sectorul,Sectorul 2,60,60,2000,80000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 2,525,300,1930,800000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 4,1,1,2000,25000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 5,200,200,2000,180000
Bucuresti,Bucuresti,1,Strada,Strada Tokio,700,492,1948,3500000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 3,80,80,2000,29999
Bucuresti,Bucuresti,1,Sectorul,Sectorul 1,135,135,2000,170000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 6,300,300,2000,320000
Bucuresti,Bucuresti,1,Chitila,Chitila,"167,69","376,11",1970,123500
Bucuresti,Bucuresti,1,Strada,Strada Locotenent Victor Manu,148,170,1940,299000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 5,60,60,2000,39000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 2,121,121,2000,200000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 1,75,75,2000,69000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 1,30,30,2000,7999
Bucuresti,Bucuresti,1,Sectorul,Sectorul 6,560,560,2000,320000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 2,250,250,2000,150000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 1,80,80,2000,24000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 1,120,120,2000,95000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 2,100,100,2000,115000
Bucuresti,Bucuresti,1,Henri,Henri Coanda,120,120,2000,149000
Bucuresti,Bucuresti,1,Strada,Strada Soimarestilor,80,140,1940,180000
Bucuresti,Bucuresti,1,Odai,Odai,135,200,2019,68000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 4,141,141,2000,149000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 2,100,100,2000,55000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 3,154,154,2000,170000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 3,1,1,2000,30000
Bucuresti,Bucuresti,1,Strada,Strada Lastarisului,89,44,2000,93500
Bucuresti,Bucuresti,1,Sectorul,Sectorul 4,70,70,2000,16000
Bucuresti,Bucuresti,1,Vatra,Vatra Luminoasa,220,230,1957,295000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 2,42,42,2000,50000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 1,400,120,2004,395000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 6,90,90,2000,120000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 1,175,175,2000,230000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 4,165,165,2000,133000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 1,115,115,2000,140000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 5,80,80,2000,75000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 5,190,190,2000,71000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 4,120,120,2000,110000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 5,80,80,2000,75000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 5,86,86,2000,25000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 1,"718,24",532,1910,4000000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 2,200,200,2000,80000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 3,1,1,2000,11500
Bucuresti,Bucuresti,1,Sectorul,Sectorul 4,110,110,2000,57800
Bucuresti,Bucuresti,1,Sectorul,Sectorul 5,50,50,2000,100000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 2,395,395,2000,525000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 5,1,1,2000,36000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 5,160,160,2000,59500
Bucuresti,Bucuresti,1,Sectorul,Sectorul 5,104,104,2000,180000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 2,110,110,2000,116000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 2,525,300,1930,800000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 1,120,120,2000,220000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 4,100,100,2000,85000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 1,1,1,2000,55000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 5,100,100,2000,42000
Bucuresti,Bucuresti,1,Strada,Strada Pt. Ion Nita,60,360,1960,87000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 5,250,250,2000,280000
Bucuresti,Bucuresti,1,Vatra,Vatra Luminoasa,220,230,1957,295000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 3,200,200,2000,180000
Bucuresti,Bucuresti,1,Plevnei,Plevnei,100,185,1960,165000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 2,476,476,2000,400000
Bucuresti,Bucuresti,1,Vitan,Vitan,180,180,2000,55000
Bucuresti,Bucuresti,1,Strada,Strada Locotenent Victor Manu,148,170,1940,299000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 2,90,90,2000,180000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 2,200,200,2000,83500
Bucuresti,Bucuresti,1,Sectorul,Sectorul 2,138,284,1930,130000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 4,70,70,2000,40000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 2,180,50,1935,270000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 5,60,60,2000,43000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 1,150,150,2000,249000
